OG_ID	NODE_ID	GENE_NUM	GAIN_NUM	BRN_NUM	DUP_NUM	TRN_NUM	LOS_NUM	TRN_DETAIL
OG0001259	outsp2	0	0	0	0	0	0	
OG0001259	N003	0	0	0	0	0	0	
OG0001259	N004	0	0	0	0	0	0	
OG0001259	insp1	0	0	0	0	0	0	
OG0001259	insp2	0	0	0	0	0	0	
OG0001259	N005	0	0	0	0	0	0	
OG0001259	insp3	1	1	1	0	0	0	
OG0001259	N006	0	0	0	0	0	0	
OG0001259	insp4	0	0	0	0	0	0	
OG0001259	insp5	0	0	0	0	0	0	
OG0001260	N001	0	0	0	0	0	0	
OG0001260	N002	0	0	0	0	0	0	
OG0001260	outsp1	0	0	0	0	0	0	
OG0001260	outsp2	0	0	0	0	0	0	
OG0001260	N003	0	0	0	0	0	0	
OG0001260	N004	0	0	0	0	0	0	
OG0001260	insp1	0	0	0	0	0	0	
OG0001260	insp2	0	0	0	0	0	0	
OG0001260	N005	0	0	0	0	0	0	
OG0001260	insp3	1	1	1	0	0	0	
OG0001260	N006	0	0	0	0	0	0	
OG0001260	insp4	0	0	0	0	0	0	
OG0001260	insp5	0	0	0	0	0	0	
OG0001261	N001	0	0	0	0	0	0	
OG0001261	N002	0	0	0	0	0	0	
OG0001261	outsp1	0	0	0	0	0	0	
OG0001261	outsp2	0	0	0	0	0	0	
OG0001261	N003	0	0	0	0	0	0	
OG0001261	N004	0	0	0	0	0	0	
OG0001261	insp1	0	0	0	0	0	0	
OG0001261	insp2	0	0	0	0	0	0	
OG0001261	N005	0	0	0	0	0	0	
OG0001261	insp3	1	1	1	0	0	0	
OG0001261	N006	0	0	0	0	0	0	
OG0001261	insp4	0	0	0	0	0	0	
OG0001261	insp5	0	0	0	0	0	0	
OG0001262	N001	0	0	0	0	0	0	
OG0001262	N002	0	0	0	0	0	0	
OG0001262	outsp1	0	0	0	0	0	0	
OG0001262	outsp2	0	0	0	0	0	0	
OG0001262	N003	0	0	0	0	0	0	
OG0001262	N004	0	0	0	0	0	0	
OG0001262	insp1	0	0	0	0	0	0	
OG0001262	insp2	0	0	0	0	0	0	
OG0001262	N005	0	0	0	0	0	0	
OG0001262	insp3	1	1	1	0	0	0	
OG0001262	N006	0	0	0	0	0	0	
OG0001262	insp4	0	0	0	0	0	0	
OG0001262	insp5	0	0	0	0	0	0	
OG0001263	N001	0	0	0	0	0	0	
OG0001263	N002	0	0	0	0	0	0	
OG0001263	outsp1	0	0	0	0	0	0	
OG0001263	outsp2	0	0	0	0	0	0	
OG0001263	N003	0	0	0	0	0	0	
OG0001263	N004	0	0	0	0	0	0	
OG0001263	insp1	0	0	0	0	0	0	
OG0001263	insp2	0	0	0	0	0	0	
OG0001263	N005	0	0	0	0	0	0	
OG0001263	insp3	1	1	1	0	0	0	
OG0001263	N006	0	0	0	0	0	0	
OG0001263	insp4	0	0	0	0	0	0	
OG0001263	insp5	0	0	0	0	0	0	
OG0001264	N001	0	0	0	0	0	0	
OG0001264	N002	0	0	0	0	0	0	
OG0001264	outsp1	0	0	0	0	0	0	
OG0001264	outsp2	0	0	0	0	0	0	
OG0001264	N003	0	0	0	0	0	0	
OG0001264	N004	0	0	0	0	0	0	
OG0001264	insp1	0	0	0	0	0	0	
OG0001264	insp2	0	0	0	0	0	0	
OG0001264	N005	0	0	0	0	0	0	
OG0001264	insp3	1	1	1	0	0	0	
OG0001264	N006	0	0	0	0	0	0	
OG0001264	insp4	0	0	0	0	0	0	
OG0001264	insp5	0	0	0	0	0	0	
OG0001265	N001	0	0	0	0	0	0	
OG0001265	N002	0	0	0	0	0	0	
OG0001265	outsp1	0	0	0	0	0	0	
OG0001265	outsp2	0	0	0	0	0	0	
OG0001265	N003	0	0	0	0	0	0	
OG0001265	N004	0	0	0	0	0	0	
OG0001265	insp1	0	0	0	0	0	0	
OG0001265	insp2	0	0	0	0	0	0	
OG0001265	N005	0	0	0	0	0	0	
OG0001265	insp3	1	1	1	0	0	0	
OG0001265	N006	0	0	0	0	0	0	
OG0001265	insp4	0	0	0	0	0	0	
OG0001265	insp5	0	0	0	0	0	0	
OG0001266	N001	0	0	0	0	0	0	
OG0001266	N002	0	0	0	0	0	0	
OG0001266	outsp1	0	0	0	0	0	0	
OG0001266	outsp2	0	0	0	0	0	0	
OG0001266	N003	0	0	0	0	0	0	
OG0001266	N004	0	0	0	0	0	0	
OG0001266	insp1	0	0	0	0	0	0	
OG0001266	insp2	0	0	0	0	0	0	
OG0001266	N005	0	0	0	0	0	0	
OG0001266	insp3	1	1	1	0	0	0	
OG0001266	N006	0	0	0	0	0	0	
OG0001266	insp4	0	0	0	0	0	0	
OG0001266	insp5	0	0	0	0	0	0	
OG0001267	N001	0	0	0	0	0	0	
OG0001267	N002	0	0	0	0	0	0	
OG0001267	outsp1	0	0	0	0	0	0	
OG0001267	outsp2	0	0	0	0	0	0	
OG0001267	N003	0	0	0	0	0	0	
OG0001267	N004	0	0	0	0	0	0	
OG0001267	insp1	0	0	0	0	0	0	
OG0001267	insp2	0	0	0	0	0	0	
OG0001267	N005	0	0	0	0	0	0	
OG0001267	insp3	1	1	1	0	0	0	
OG0001267	N006	0	0	0	0	0	0	
OG0001267	insp4	0	0	0	0	0	0	
OG0001267	insp5	0	0	0	0	0	0	
OG0001268	N001	0	0	0	0	0	0	
OG0001268	N002	0	0	0	0	0	0	
OG0001268	outsp1	0	0	0	0	0	0	
OG0001268	outsp2	0	0	0	0	0	0	
OG0001268	N003	0	0	0	0	0	0	
OG0001268	N004	0	0	0	0	0	0	
OG0001268	insp1	0	0	0	0	0	0	
OG0001268	insp2	0	0	0	0	0	0	
OG0001268	N005	0	0	0	0	0	0	
OG0001268	insp3	1	1	1	0	0	0	
OG0001268	N006	0	0	0	0	0	0	
OG0001268	insp4	0	0	0	0	0	0	
OG0001268	insp5	0	0	0	0	0	0	
OG0001269	N001	0	0	0	0	0	0	
OG0001269	N002	0	0	0	0	0	0	
OG0001269	outsp1	0	0	0	0	0	0	
OG0001269	outsp2	0	0	0	0	0	0	
OG0001269	N003	0	0	0	0	0	0	
OG0001269	N004	0	0	0	0	0	0	
OG0001269	insp1	0	0	0	0	0	0	
OG0001269	insp2	0	0	0	0	0	0	
OG0001269	N005	0	0	0	0	0	0	
OG0001269	insp3	1	1	1	0	0	0	
OG0001269	N006	0	0	0	0	0	0	
OG0001269	insp4	0	0	0	0	0	0	
OG0001269	insp5	0	0	0	0	0	0	
OG0001270	N001	0	0	0	0	0	0	
OG0001270	N002	0	0	0	0	0	0	
OG0001270	outsp1	0	0	0	0	0	0	
OG0001270	outsp2	0	0	0	0	0	0	
OG0001270	N003	0	0	0	0	0	0	
OG0001270	N004	0	0	0	0	0	0	
OG0001270	insp1	0	0	0	0	0	0	
OG0001270	insp2	0	0	0	0	0	0	
OG0001270	N005	0	0	0	0	0	0	
OG0001270	insp3	1	1	1	0	0	0	
OG0001270	N006	0	0	0	0	0	0	
OG0001270	insp4	0	0	0	0	0	0	
OG0001270	insp5	0	0	0	0	0	0	
OG0001271	N001	0	0	0	0	0	0	
OG0001271	N002	0	0	0	0	0	0	
OG0001271	outsp1	0	0	0	0	0	0	
OG0001271	outsp2	0	0	0	0	0	0	
OG0001271	N003	0	0	0	0	0	0	
OG0001271	N004	0	0	0	0	0	0	
